Text,Emotion
a few monthe ago,neutral
a friend of mine goes out with this guy she sleeps with him but is quite happy for him to play around as well as herself,happy
a girl entered in the division where i work and greeted everybody but not me,neutral
about the car sadness i felt anger the way i acted after negotiating it,sad
after the funeral of an acquaintance i felt very depressed that feeling turned into joy when i heard that i had achieved a good grade for an examination,sad
as in sadness a,sad
at a certain situation i felt myself neglected and undeservedly harmed,neutral
i absolutely adore them and feel sad that such a significant event happens without pomp or ceremony and doesnt even make the news,sad
i accept good gifts from god and i feel angry that others don t get the same,angry
i acted like a little girl by acting cute towards you asking if you wanna share a diary with me amp you said youre still feeling pissed and you want me to stop adding the problems and make things hard for us,neutral
i actually did want to see him especially since i was feeling sad and lonely the whole day,sad
i actually feel content with just being me,happy
i actually feel hopeful today,neutral
i actually feel i m experiencing someone who is viscerally enraged,angry
i actually feel insulted when the plot goes off on a tangent like that,neutral
i actually get depressed because a it takes me awhile to realize that that is what is going on and b then i feel all outraged at myself because i am depressed,sad
i actually wanna marry a white guy someday but i ve never dated a white guy so in a way i feel disadvantaged,sad
i admit some of my inspiration to go this direction is because i am feeling a little melancholy that i won t be making my a href http www,sad
i admit that in the past ive done a lot of time scoffing and feeling superior to christians,neutral
i admit that with all the thoughts that go through my head i feel doubtful at times coz im scared,neutral
i admit to comparing and having heart palpitations when i assessed her math s standard at being lower than average and feeling smug when she began reading year old books at,angry
i admit to feeling slightly alarmed that her book was also based on olden sarawak and there seemed to be parallel plot lines to the jugra chronicles,neutral
i admitted silently in the darkness that pain and a stuffy nose and unremembered bad dreams could easily result in waking with a feeling of discontent and sorrow,happy
i again feel like going out in a friendly and safe environment i am booking a flight to pe,neutral
i aint happy im feeling glad i got sunshine in a bag im useless but not for long the future is coming on its coming on its coming on rah yeah its coming on its coming on,happy
i aint pissed angry mad or anything i just feel pretty much fuckin insulted,angry
i allow my old thoughts to run their course and focus on the negative things that happened when we were together i find myself in that familiar hell place where i am angry and feeling victimized and powerless,angry
