Text,Emotion
monthe ago,neutral
friend mine goes guy sleeps quite happy play around well,happy
girl entered division work greeted everybody,neutral
car sadness felt anger way acted negotiating,sad
funeral acquaintance felt depressed feeling turned joy heard achieved good grade examination,sad
sadness,sad
certain situation felt neglected undeservedly harmed,neutral
absolutely adore feel sad significant event happens without pomp ceremony doesnt even make news,sad
accept good gifts god feel angry others get,angry
acted like little girl acting cute towards asking wanna share diary amp said youre still feeling pissed want stop adding problems make things hard us,neutral
actually want see especially since feeling sad lonely whole day,sad
actually feel content,happy
actually feel hopeful today,neutral
actually feel experiencing someone viscerally enraged,angry
actually feel insulted plot goes tangent like,neutral
actually get depressed takes awhile realize going b feel outraged depressed,sad
actually wanna marry white guy someday never dated white guy way feel disadvantaged,sad
admit inspiration go direction feeling little melancholy making href http www,sad
admit past ive done lot time scoffing feeling superior christians,neutral
admit thoughts go head feel doubtful times coz im scared,neutral
admit comparing heart palpitations assessed math standard lower average feeling smug began reading year old books,angry
admit feeling slightly alarmed book also based olden sarawak seemed parallel plot lines jugra chronicles,neutral
admitted silently darkness pain stuffy nose unremembered bad dreams could easily result waking feeling discontent sorrow,happy
feel like going friendly safe environment booking flight pe,neutral
aint happy im feeling glad got sunshine bag im useless long future coming coming coming rah yeah coming coming,happy
aint pissed angry mad anything feel pretty much fuckin insulted,angry
allow old thoughts run course focus negative things happened together find familiar hell place angry feeling victimized powerless,angry
allowed know always loved airports feeling adventure connection strange place terminals cold clacking heels overpriced bagels felt deeply sad,sad
almost feel confused character honestly say actually things going pretty well,neutral
almost feel envious people wake morning look window enjoy view even better take little stroll look water,happy
almost want error side high makes feel depressed allowed feel crappy ill time,sad
already feel impatient cancel hyundai tucson last year waiting almost seven months,neutral
also dont personally find last one particularly true dont feel isolated insecure life happy,happy
also enjoyed dephyant earlier ep critical beatz feel though dirty pairadice showcases refined collection lyricism dephyant trying hand different styles,happy
also feel discontent greed behind,happy
also feel angry mad bitter anyone,angry
also feel contented humbled experience always thankful opportunity,happy
also feel extremely blessed marrying loving family,neutral
also feel rude see family doctor approach together ailments,neutral
also feel really angry family,angry
also feel regretful sad,sad
also feel blessed new relationship jesus christ vcf family continues give encouragement ministry called serve,angry
also feel people village friendly need alert manila though common sense rule still stays let guard,neutral
also feel depressed lonely stressed,sad
also periods days sometimes weeks feel legitimately depressed lot trouble getting bed going day,sad
also admit feel suffocated thought terrified sad,sad
also honest post almost didnt happen woke feeling shitty cranky angry today going bed feeling shitty cranky angry last night,angry
also hope understand feel angry dont support hat rule turn school event sans hat,angry
also remember feeling stressed getting angry felt angry,angry
also start feeling agitated even melancholy,sad
also wouldnt mind canon mark iii anyone feeling generous,neutral
alternated wishing would die feeling terrified something would happen leaving newborn son without mother,neutral
always complain nobody listens expressive speak beats heart decided write whatever comes mind various time life sad feelings romantic ambitions friends keeps telling express,sad
always end feeling unwelcome sad,sad
always enjoy meeting new people learning new thing especially makes feel accepted,happy
always feel bit melancholy summer turns fall,sad
always feel little sad goes sorta ren stimpy theme us oil water gemini scorpio soulmate friends,sad
always feel little suspicious kind tradition cannot accessed average person smacks little gnostic heresy,angry
always feel angry,angry
always feel contented big word,happy
always feel devastated angry fellow filipinos used filipinos,angry
always feel fake happy like real,happy
always feel depressed winter,sad
always feel pressured socialize get eight missed calls texts host brother span hour,neutral
always feel really good happy glad married utah uvu house im,happy
always feel relaxed happy,happy
always feel sad people say days seem,sad
always feel sad friends live far away babies,sad
always feel burdened sadness sometimes fear whats going world,sad
always feel leave kind sad kind nervous kind like family incomplete,sad
always get questions blocking classes topic feel pretty passionately knitter teacher,neutral
always get feeling letting go anger somehow defeated person person never learn simply choose angry,angry
always get sad feeling song really love becomes popular,sad
always notice even though fabulous hiding according rest world feel keenly greatly distressed,neutral
always sad amp feeling alone,sad
always try compliment feel ugly inside im depressed,sad
bit impractical thoughts feel makes life less doubtful,neutral
food blogger feel really need back time moment highlight delicious plate food enjoyed friday evening summer work picnic,happy
martyr feel superior feel isolated often feel angry resentful nothing ever good enough,angry
person sometimes feels jealous sometimes feels happy sometimes feels sad excited afraid angry confused,sad
able give feelings rude people depressing situations death news tragedies,angry
afternoon activities im also feeling quite distraught tragedy morning ct,angry
agreeing feel tightness tenderness around heart distracted slow pace well sad,sad
allowed feel sad angry annoyed certain things,sad
alone like way lately ive feeling loneliness sadness discontent alone,sad
alone feeling melancholy tend produce better art better poetry deeper thoughts,sad
already feeling frantic,neutral
also aware glamour sometimes want feel glamourous know,neutral
also feeling smidgen melancholy,sad
also feeling slightly sync little bit angry,angry
also glad strong enough relationship husband express im feeling mad bad sad,sad
also lbs feel good still another go least well thats plan anyway,neutral
always sad boyfriend goes away lives studies city gone steady years everything going well,sad
dont know maybe weather feeling little melancholy feel way tend drift past think better times life sometimes good well,sad
angered enraged feel quite disillusioned people,angry
angry times ever taken granted made feel less worth precious time made feel bad made cry,angry
angry feeling like feel like ungrateful little blessing true gift god growing inside dont feel ungrateful sound ungrateful,angry
angry eating easier feeling unpleasant feelings,angry
angry think lost much needs right sad longer part life think everything much faith much trusted feel humiliated grateful everything,sad
appreciative people happy feeling hopeless bitter even content,happy
makes feel nostalgic sad,sad
ashamed feel like moment see terrified crying children dead ones,neutral
deep level feel real contented,happy
mercy others makes feel angry want shit,angry
back home feeling irritable since ive looking forward party week,neutral
beginning feel annoyed frustrated angry taking long time something rudimentary dressing,angry
beyond lucky supportive husband pushes follow dreams encourages im feeling bit shaky,angry
bloging sitting feeling content dogs amp cat etc know lucky truth,happy
busy sorting interior cupboards course lots stuff still storage feeling even remotely smug neat organisation behind doors premature,angry
means claustrophobic crunched like help feel little agitated,neutral
capable feeling content,happy
curious feel victimized traumatized outraged events none feelings enter,angry
deeply saddened cruel bullying invasions privacy whether face face internet especially leaves teenagers feeling distraught believe recourse take lives,sad
definitely feeling rather enraged moment,angry
depressed feeling worthless getting gmc denali bike conquering miles makes feel less powerless,sad
depressed feel less vital lenny squiggys last sperm count,sad
depressed feel timid shy speak much get manic speak loudly forcibly though words heard,sad
depressed feeling hateful lowly entitled rude unsociable look talk people,sad
moment feeling melancholy wondering could everything wanted,sad
easily rubbed wrong way feel cranky sad,sad
excited sad feel like wonderful bubble kids,sad
fairly sure feeling discontent life projecting onto church community,happy
